Team,Spiel,Nachname,Vorname,Punkte,FWVersuche,FWTreffer,2er,3er,Fouls
 Sportvg Feuerbach 3, 46,Berkant,Kurban,1.0,2.0,1.0,0.0,0.0,2.0
 Sportvg Feuerbach 3, 46,Boras,Karlo,2.0,0.0,0.0,1.0,0.0,1.0
 Sportvg Feuerbach 3, 46,Georgiadis,Dimitris,4.0,4.0,1.0,0.0,1.0,2.0
 Sportvg Feuerbach 3, 46,****,***,0.0,0.0,0.0,0.0,0.0,0.0
 Sportvg Feuerbach 3, 46,Hönig,Thomas,2.0,1.0,0.0,1.0,0.0,2.0
 Sportvg Feuerbach 3, 46,Kebede,Musse,10.0,0.0,0.0,2.0,2.0,2.0
 Sportvg Feuerbach 3, 46,Nowak,Alexander,5.0,4.0,1.0,2.0,0.0,3.0
 Sportvg Feuerbach 3, 46,Salar,Sahab,0.0,0.0,0.0,0.0,0.0,0.0
 Sportvg Feuerbach 3, 46,Scharpf,Robert,0.0,0.0,0.0,0.0,0.0,0.0
 Sportvg Feuerbach 3, 46,Schneider,Max,6.0,2.0,0.0,3.0,0.0,4.0
 Sportvg Feuerbach 3, 46,Siddalingappa,Arun,2.0,0.0,0.0,1.0,0.0,2.0
 Sportvg Feuerbach 3, 46,Skrimizeas,Dimitrios,11.0,6.0,3.0,4.0,0.0,3.0
 SpVgg Möhringen 2, 46,Blumberg,David,14.0,3.0,0.0,7.0,0.0,3.0
 SpVgg Möhringen 2, 46,Fabian,Jascha,4.0,1.0,0.0,2.0,0.0,2.0
 SpVgg Möhringen 2, 46,Huber,Ari,14.0,7.0,5.0,3.0,1.0,1.0
 SpVgg Möhringen 2, 46,Jetter,Martin,2.0,0.0,0.0,1.0,0.0,2.0
 SpVgg Möhringen 2, 46,Nieuwenhuizen,Florian,15.0,6.0,3.0,6.0,0.0,0.0
 SpVgg Möhringen 2, 46,Pavlovits,Stefan Sasa,6.0,0.0,0.0,3.0,0.0,1.0
 SpVgg Möhringen 2, 46,Schulz,Wilhelm,0.0,0.0,0.0,0.0,0.0,3.0
 SpVgg Möhringen 2, 46,Toromanovic,Zlatan,6.0,6.0,4.0,1.0,0.0,2.0
 SpVgg Möhringen 2, 46,Wiedemann,Bernd,0.0,0.0,0.0,0.0,0.0,0.0
 SpVgg Möhringen 2, 46,Wrachtrup,Maximilian,6.0,0.0,0.0,0.0,2.0,0.0
 SG Schorndorf, 56,Baykal,Emre,0.0,0.0,0.0,0.0,0.0,1.0
 SG Schorndorf, 56,Baykal,Timur,2.0,0.0,0.0,1.0,0.0,1.0
 SG Schorndorf, 56,Gaudio,Joel,0.0,0.0,0.0,0.0,0.0,1.0
 SG Schorndorf, 56,Gerstenhauer,Timo,0.0,0.0,0.0,0.0,0.0,1.0
 SG Schorndorf, 56,Hergül,Eray,0.0,0.0,0.0,0.0,0.0,0.0
 SG Schorndorf, 56,Hergül,Koray,24.0,9.0,6.0,3.0,4.0,3.0
 SG Schorndorf, 56,Komlenic,Dusan,3.0,0.0,0.0,0.0,1.0,4.0
 SG Schorndorf, 56,Komlenic,Krstan,6.0,0.0,0.0,3.0,0.0,1.0
 SG Schorndorf, 56,Meinlschmidt,Tim,2.0,4.0,2.0,0.0,0.0,1.0
 SG Schorndorf, 56,Randisi,Samuele,0.0,0.0,0.0,0.0,0.0,2.0
 SG Schorndorf, 56,Ul Haq,Muhammad Ali,0.0,0.0,0.0,0.0,0.0,0.0
 SG Schorndorf, 56,Weber,Ben,3.0,0.0,0.0,0.0,1.0,4.0
 SpVgg Möhringen 2, 56,****,***,2.0,2.0,2.0,0.0,0.0,0.0
 SpVgg Möhringen 2, 56,Blumberg,David,11.0,5.0,3.0,4.0,0.0,2.0
 SpVgg Möhringen 2, 56,Dietz,Max,3.0,0.0,0.0,0.0,1.0,2.0
 SpVgg Möhringen 2, 56,Fabian,Jascha,10.0,2.0,0.0,5.0,0.0,1.0
 SpVgg Möhringen 2, 56,Jetter,Martin,2.0,0.0,0.0,1.0,0.0,0.0
 SpVgg Möhringen 2, 56,Nieuwenhuizen,Florian,12.0,4.0,3.0,3.0,1.0,1.0
 SpVgg Möhringen 2, 56,Pavlovits,Stefan Sasa,6.0,4.0,2.0,2.0,0.0,3.0
 SpVgg Möhringen 2, 56,Roman,Eric,3.0,2.0,1.0,1.0,0.0,2.0
 SpVgg Möhringen 2, 56,Toromanovic,Zlatan,19.0,7.0,6.0,5.0,1.0,3.0
 SpVgg Möhringen 2, 56,Wiedemann,Bernd,4.0,0.0,0.0,2.0,0.0,0.0
 Aalener Sportallianz, 60,Altevogt,Daniel,23.0,19.0,13.0,5.0,0.0,4.0
 Aalener Sportallianz, 60,Csatlos,Tibor,0.0,0.0,0.0,0.0,0.0,3.0
 Aalener Sportallianz, 60,Fuchs,Rene,16.0,13.0,6.0,5.0,0.0,0.0
